82,1
83,2
84,1
87,1
89,1
97,1
100,1
103,2
105,1
106,1
107,2
108,1
109,4
111,2
114,4
115,3
116,2
117,2
118,2
119,4
120,1
121,2
123,2
124,1
128,1
130,1
133,1
134,1
137,1
138,1
139,1
140,2
141,2
142,6
143,3
144,2
145,1
146,3
147,2
148,1
149,5
150,4
151,1
152,1
153,3
154,1
156,3
157,3
158,1
159,2
160,1
162,4
163,2
164,4
165,1
166,4
167,7
168,6
169,8
170,6
171,5
172,6
173,8
174,13
175,12
176,16
177,13
178,11
179,12
180,14
181,9
182,15
183,8
184,9
185,15
186,8
187,9
188,5
189,9
190,3
191,1
192,4
193,9
194,2
195,3
196,12
197,10
198,2
199,2
200,3
201,5
202,1
203,4
204,2
206,2
207,1
208,5
209,2
210,5
211,4
212,3
213,3
214,2
215,1
216,3
217,2
218,5
219,1
220,1
221,1
222,2
223,1
224,1
225,2
227,2
230,2
233,1
234,2
235,1
236,1
237,1
239,3
241,3
242,1
243,4
244,2
245,1
246,1
250,1
253,1
254,1
255,1
256,4
257,3
258,4
259,3
260,5
261,27
262,6
263,4
264,1
265,5
266,17
267,2
268,3
269,1
270,4
272,2
273,8
274,2
275,2
276,8
277,6
278,1
279,1
280,1
281,2
282,8
284,14
285,10
286,10
288,2
290,7
292,3
293,23
294,15
295,3
296,4
297,4
298,3
299,4
300,13
301,5
302,4
303,3
304,1
305,4
306,4
307,6
308,5
309,1
310,3
311,5
312,6
313,4
314,4
315,9
316,7
317,11
318,18
319,19
320,27
321,21
322,33
323,30
324,20
325,31
326,30
327,32
328,31
329,29
330,25
331,15
332,22
333,19
334,14
335,18
336,14
337,14
338,12
339,6
340,6
341,2
342,7
343,6
344,8
345,6
346,10
347,6
348,10
349,12
350,9
351,6
352,12
353,13
354,20
355,13
356,26
357,25
358,35
359,31
360,47
361,52
362,30
363,44
364,39
365,58
366,38
367,54
368,50
369,48
370,51
371,57
372,64
373,52
374,56
375,88
376,27
377,45
378,40
379,27
380,26
381,21
382,17
383,11
384,23
385,7
386,12
387,11
388,8
389,2
390,7
391,2
392,5
393,4
394,5
395,2
396,9
397,34
398,6
399,6
400,3
401,3
402,1
403,5
404,6
405,3
406,5
407,8
408,8
409,4
410,6
411,5
412,6
413,8
414,10
415,15
416,13
417,7
418,11
419,7
420,11
421,9
422,7
423,7
424,8
425,10
426,12
427,9
428,11
429,6
430,6
431,4
432,7
433,2
434,5
435,2
436,4
437,3
438,6
439,4
441,4
442,4
443,1
444,4
445,2
446,3
448,5
449,1
450,2
451,4
452,5
453,7
455,2
456,2
457,3
458,2
459,2
461,1
463,3
464,3
465,3
466,2
467,3
468,7
469,1
470,6
471,6
472,12
473,11
474,9
475,9
476,8
477,5
478,1
479,5
480,3
481,4
482,5
483,3
484,3
485,2
486,1
487,2
488,2
489,4
490,2
491,2
492,1
493,1
494,1
495,1
496,1
497,2
499,2
500,1
502,3
505,2
506,2
507,1
508,1
509,1
511,3
512,2
516,5
518,1
519,2
520,4
521,3
525,1
526,2
527,2
528,2
529,2
530,1
531,4
532,2
533,2
534,2
535,2
536,1
537,4
538,1
539,2
540,3
541,4
542,1
543,1
544,3
545,1
546,7
547,3
548,5
549,7
550,3
551,3
552,1
553,7
554,3
555,6
556,4
557,6
558,6
559,5
560,1
561,4
562,4
563,5
564,5
565,4
566,5
567,4
568,10
569,19
570,20
571,19
572,33
573,36
574,30
575,47
576,36
577,44
578,38
579,56
580,47
581,48
582,40
583,48
584,53
585,68
586,41
587,31
588,31
589,30
590,22
591,18
592,14
593,11
594,12
595,16
596,12
597,12
598,14
599,11
600,15
601,12
602,11
603,14
604,22
605,15
606,15
607,17
608,21
609,23
610,30
611,33
612,35
613,53
614,50
615,36
616,47
617,63
618,42
619,57
620,50
621,48
622,53
623,44
624,37
625,43
626,28
627,47
628,27
629,28
630,34
631,28
632,30
633,25
634,27
635,19
636,23
637,28
638,23
639,16
640,15
641,17
642,20
643,16
644,17
645,22
646,15
647,14
648,13
649,24
650,12
651,13
652,18
653,10
654,12
655,10
656,15
657,6
658,15
659,14
660,24
661,37
662,11
663,9
664,13
665,13
666,10
667,16
668,9
669,15
670,13
671,16
672,16
673,11
674,14
675,12
676,11
677,10
678,16
679,11
680,3
681,6
682,8
683,2
684,7
685,10
686,6
687,6
688,10
689,9
690,7
691,4
